,Diagnoses,Count
636,"Cocaine abuse, uncomplicated",1
637,"Opioid abuse, uncomplicated",1
638,Other specified hypoglycemia,1
639,"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use",1
640,Drug-induced delirium,1
641,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,1
642,Late effect of certain complications of trauma,1
643,"Other fall on same level, initial encounter",1
644,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture",1
645,"Other cervical disc degeneration, unspecified cervical region",1
646,"Nontoxic goiter, unspecified",1
647,Unspecified place in nursing home as the place of occurrence of the external cause,1
648,Presence of intraocular lens,1
649,Septicemia due to pseudomonas,1
650,Acute on chronic combined systolic and diastolic heart failure,1
651,Other closed transcervical fracture of neck of femur,1
652,"Spondylosis without myelopathy or radiculopathy, lumbosacral region",1
653,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",1
654,Other specified places as the place of occurrence of the external cause,1
655,Rheumatic disorders of both mitral and aortic valves,1
656,Cardiac arrest due to underlying cardiac condition,1
657,"Multiple fractures of ribs, bilateral, initial encounter for closed fracture",1
658,"Left bundle-branch block, unspecified",1
659,"Ulcerative colitis, unspecified, without complications",1
660,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",1
661,Background diabetic retinopathy,1
662,Long term (current) use of opiate analgesic,1
663,Degeneration of lumbar or lumbosacral intervertebral disc,1
664,Awaiting organ transplant status,1
665,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness, initial encounter",1
666,Acute embolism and thrombosis of superficial veins of left upper extremity,1
667,"Epilepsy, unspecified, not intractable, with status epilepticus",1
668,Unspecified infectious and parasitic diseases,1
669,Other disorders of neurohypophysis,1
670,Acute embolism and thrombosis of left iliac vein,1
671,Other specified peritonitis,1
672,Personal history of allergy to penicillin,1
673,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,1
674,"Atrioventricular block, complete",1
675,Other specified hypotension,1
676,"Alcohol dependence with intoxication, unspecified",1
677,Open fracture of shaft of femur,1
678,Unspecified hemorrhoids,1
679,"Macular degeneration (senile), unspecified",1
680,"Viral intestinal infection, unspecified",1
681,Acute pulmonary insufficiency following nonthoracic surgery,1
682,Cellulitis of abdominal wall,1
683,Postprocedural hemorrhage of a musculoskeletal structure following other procedure,1
684,"Partial intestinal obstruction, unspecified as to cause",1
685,"Spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region",1
686,Generalized abdominal pain,1
687,"Body mass index (BMI) 20.0-20.9, adult",1
688,Traumatic anuria,1
689,Other diseases of stomach and duodenum,1
690,Chronic or unspecified gastric ulcer with perforation,1
691,Chronic or unspecified duodenal ulcer with perforation,1
692,Chronic viral hepatitis C,1
693,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",1
694,Personal history of malignant neoplasm of bronchus and lung,1
695,Closed fracture of seven ribs,1
696,Hemangioma of intracranial structures,1
697,Personal history of malignant neoplasm of thyroid,1
698,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
699,Personal history of malignant melanoma of skin,1
700,Right bundle branch block,1
701,"Other acute osteomyelitis, right ankle and foot",1
702,Accidental poisoning from other specified plants,1
703,"Injury to other gastrointestinal sites, without mention of open wound into cavity",1
704,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus",1
705,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",1
706,Other specified disorders of intestine,1
707,Operating room of hospital as the place of occurrence of the external cause,1
708,"Contusion of other intra-abdominal organs, initial encounter",1
709,"Assault by unarmed brawl or fight, initial encounter",1
710,"Fracture of subcondylar process of mandible, initial encounter for closed fracture",1
711,Closed fracture of surgical neck of humerus,1
712,Other psoriasis,1
713,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",1
714,Cervical spondylosis without myelopathy,1
715,Impaired glucose tolerance test (oral),1
716,Acute respiratory failure following trauma and surgery,1
717,Traumatic shock,1
718,"Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum",1
719,Contusion of lung without mention of open wound into thorax,1
720,Other chronic nonalcoholic liver disease,1
721,Methicillin susceptible pneumonia due to Staphylococcus aureus,1
722,Edema of male genital organs,1
723,Contact dermatitis and other eczema due to plants [except food],1
724,Traumatic hemothorax without mention of open wound into thorax,1
725,"Closed dislocation, multiple cervical vertebrae",1
726,Unspecified injury of heart without mention of open wound into thorax,1
727,Closed fracture of sixth cervical vertebra,1
728,Rhabdomyolysis,1
729,"Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland",1
730,"Injury to liver without mention of open wound into cavity, hematoma and contusion",1
731,"Injury to liver without mention of open wound into cavity laceration, unspecified",1
732,"Spinal stenosis, lumbar region, without neurogenic claudication",1
733,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,1
734,"Other complication of vascular dialysis catheter, initial encounter",1
735,Necrotizing fasciitis,1
736,Type 2 diabetes mellitus with other specified complication,1
737,Bathroom in nursing home as the place of occurrence of the external cause,1
738,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, initial encounter",1
739,"Nondisplaced intertrochanteric fracture of left femur, initial encounter for closed fracture",1
740,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,1
741,Family history of diabetes mellitus,1
742,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere,1
743,Other symbolic dysfunctions,1
744,Chronic viral hepatitis B without delta-agent,1
745,Non-pressure chronic ulcer of other part of right foot with necrosis of bone,1
746,"Benign neoplasm of meninges, unspecified",1
747,Obstruction of bile duct,1
748,Tinea cruris,1
749,Anesthesia of skin,1
750,Lens replaced by other means,1
751,Cataract extraction status,1
752,Family history of malignant neoplasm of prostate,1
753,Malignant neoplasm of main bronchus,1
754,"Spinal stenosis, lumbar region, with neurogenic claudication",1
755,Personal history of poliomyelitis,1
756,Hypercalcemia,1
757,Secondary malignant neoplasm of kidney,1
758,Acute laryngitis without mention of obstruction,1
759,"Pressure ulcer, stage III",1
760,Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,1
761,Hemoperitoneum,1
762,Sepsis due to Escherichia coli [E. coli],1
763,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,1
764,Degeneration of cervical intervertebral disc,1
765,Cerebral atherosclerosis,1
766,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter",1
767,"Cellulitis and abscess of leg, except foot",1
768,"Catatonic type schizophrenia, unspecified",1
769,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,1
770,"Cystic kidney disease, unspecified",1
771,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",1
772,Splenomegaly,1
773,Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin,1
774,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",1
775,Other toe(s) amputation status,1
776,"Surgical instruments, materials and cardiovascular devices (including sutures) associated with adverse incidents",1
777,"Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter",1
778,Other streptococcal sepsis,1
779,Febrile nonhemolytic transfusion reaction,1
780,Family history of other specified malignant neoplasm,1
781,Prurigo nodularis,1
782,Acquired absence of right foot,1
783,Sepsis due to Methicillin resistant Staphylococcus aureus,1
784,Acquired keratosis [keratoderma] palmaris et plantaris,1
785,"Fluid overload, unspecified",1
786,Acute and subacute infective endocarditis,1
787,"Pain in joint, shoulder region",1
788,Accidental fall from bed,1
789,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes",1
790,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",1
791,Antineoplastic chemotherapy induced anemia,1
792,Secondary malignant neoplasm of brain and spinal cord,1
793,"Pressure ulcer, stage II",1
794,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,1
795,Subarachnoid hemorrhage,1
796,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care",1
797,Impaired fasting glucose,1
798,"Schizoaffective disorder, chronic with acute exacerbation",1
799,Other alteration of consciousness,1
800,Foreign body in larynx,1
801,Acute post-thoracotomy pain,1
802,Spondylolisthesis,1
803,"Scoliosis [and kyphoscoliosis], idiopathic",1
804,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,1
805,Obstructive hydrocephalus,1
806,Unspecified hemorrhoids with other complication,1
807,Other cysts of jaws,1
808,Cardiomegaly,1
809,Dementia in conditions classified elsewhere with behavioral disturbance,1
810,"Laceration of intercostal blood vessels, left side, initial encounter",1
811,"Dislocation of jaw, initial encounter",1
812,Anemia due to antineoplastic chemotherapy,1
813,"Body Mass Index 40.0-44.9, adult",1
814,"Alopecia, unspecified",1
815,Dissection of other artery,1
816,Malignant neoplasm of intrahepatic bile ducts,1
817,Lumbosacral spondylosis without myelopathy,1
818,"Malignant neoplasm of lower lobe, bronchus or lung",1
819,"Chronic osteomyelitis, site unspecified",1
820,Malignant neoplasm of rectosigmoid junction,1
821,"Mycosis fungoides, unspecified site, extranodal and solid organ sites",1
822,Hypospadias,1
823,Abnormal involuntary movements,1
824,Unspecified condition of brain,1
825,Other malignant neoplasm without specification of site,1
826,Painful respiration,1
827,Nontoxic uninodular goiter,1
828,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,1
829,"Primary osteoarthritis, unspecified shoulder",1
830,Acquired absence of other specified parts of digestive tract,1
831,"Dissociative and conversion disorder, unspecified",1
832,"Localized swelling, mass and lump, unspecified lower limb",1
833,"Benign paroxysmal vertigo, unspecified ear",1
834,"Homonymous bilateral field defects, left side",1
835,"Pruritus, unspecified",1
836,Conversion disorder with mixed symptom presentation,1
837,Malignant neoplasm of descended left testis,1
838,Other sequelae of cerebral infarction,1
839,Acute bronchitis due to other specified organisms,1
840,Other viral infections of unspecified site,1
841,Generalized hyperhidrosis,1
842,"Sacrococcygeal disorders, not elsewhere classified",1
843,Cellulitis of left upper limb,1
844,Personal history of (healed) traumatic fracture,1
845,Discoid lupus erythematosus,1
846,Iatrogenic cerebrovascular infarction or hemorrhage,1
847,Coronary atherosclerosis of autologous vein bypass graft,1
848,Acute appendicitis with generalized peritonitis,1
849,Procedure not carried out for other reasons,1
850,Pernicious anemia,1
851,Type 1 diabetes mellitus with ketoacidosis without coma,1
852,"Underdosing of insulin and oral hypoglycemic [antidiabetic] drugs, initial encounter",1
853,Pneumonia due to Methicillin susceptible Staphylococcus aureus,1
854,"Other mechanical complication of insulin pump, initial encounter",1
855,Acetonuria,1
856,Mechanical complication due to insulin pump,1
857,Methicillin resistant pneumonia due to Staphylococcus aureus,1
858,Unspecified hemorrhoids without mention of complication,1
859,Benign neoplasm of heart,1
860,Other specified diseases of intestine,1
861,Other hemorrhoids,1
862,Hemorrhage of anus and rectum,1
863,"Major depressive disorder, single episode, in full remission",1
864,Long term (current) use of oral hypoglycemic drugs,1
865,"Acute pericarditis, unspecified",1
866,Personal history of other diseases of the digestive system,1
867,Epigastric pain,1
868,Other symptoms and signs concerning food and fluid intake,1
869,Other complications of other bariatric procedure,1
870,Xerosis cutis,1
871,Bilateral primary osteoarthritis of hip,1
872,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional), initial encounter",1
873,Chronic lymphocytic leukemia of B-cell type in remission,1
874,Alzheimer's disease,1
875,Other hypotension,1
876,Other abnormal blood chemistry,1
877,"Unspecified infection due to central venous catheter, initial encounter",1
878,"Major depressive disorder, recurrent, in remission, unspecified",1
879,"Primary osteoarthritis, right shoulder",1
880,Fistula of stomach and duodenum,1
881,"Displacement of vascular dialysis catheter, initial encounter",1
882,Unspecified cirrhosis of liver,1
883,"Acute pancreatitis, unspecified",1
884,Other specified sepsis,1
885,Chondrocostal junction syndrome [Tietze],1
886,"Primary osteoarthritis, left shoulder",1
887,Pure hyperglyceridemia,1
888,Ventricular premature depolarization,1
889,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",1
890,Diabetes mellitus due to underlying condition with hyperglycemia,1
891,Pain in unspecified shoulder,1
892,Other and unspecified manifestations of thiamine deficiency,1
893,Dietary zinc deficiency,1
894,"Hypothermia, not associated with low environmental temperature",1
895,Takotsubo syndrome,1
896,Diverticulosis of large intestine without perforation or abscess without bleeding,1
897,Polyp of colon,1
898,"Other bursitis of hip, right hip",1
899,Glucocorticoid deficiency,1
900,Oliguria and anuria,1
901,Transfusion related acute lung injury (TRALI),1
902,"Exposure to other specified factors, initial encounter",1
903,Acquired coagulation factor deficiency,1
904,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,1
905,"Peritonitis, unspecified",1
906,Other abnormal glucose,1
907,Acute systolic heart failure,1
908,Prolapse of vaginal vault after hysterectomy,1
909,Acute systolic (congestive) heart failure,1
910,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,1
911,Dietary selenium deficiency,1
912,Other medical devices associated with adverse incidents,1
913,"Underdosing of saline and osmotic laxatives, initial encounter",1
914,Alcohol abuse with unspecified alcohol-induced disorder,1
915,Patient's intentional underdosing of medication regimen for other reason,1
916,Other place in single-family (private) house as the place of occurrence of the external cause,1
917,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,1
918,"Contusion of right lower leg, initial encounter",1
919,"Mild cognitive impairment, so stated",1
920,"Bursopathy, unspecified",1
921,"Unspecified osteoarthritis, unspecified site",1
922,"Lower abdominal pain, unspecified",1
923,"Hemiplegia, unspecified affecting left nondominant side",1
924,Alcoholic hepatitis with ascites,1
925,Hepatopulmonary syndrome,1
926,Alcohol induced acute pancreatitis without necrosis or infection,1
927,"Cyst of kidney, acquired",1
928,Secondary esophageal varices with bleeding,1
929,Benign neoplasm of descending colon,1
930,Personal history of malignant neoplasm of other gastrointestinal tract,1
931,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",1
932,Other lymphedema,1
933,Essential and other specified forms of tremor,1
934,Surgical or other procedure not carried out because of contraindication,1
935,Ankylosing spondylitis,1
936,"Duodenitis, without mention of hemorrhage",1
937,Malignant neoplasm of lower third of esophagus,1
938,Dissection of abdominal aorta,1
939,"Vaginal enterocele, congenital or acquired",1
940,"Ulceration of vulva, unspecified",1
941,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",1
942,Postmenopausal atrophic vaginitis,1
943,Family history of malignant neoplasm of other genital organs,1
944,"Family history of malignant neoplasm of trachea, bronchus and lung",1
945,Unspecified acute appendicitis,1
946,History of fall,1
947,Adhesive capsulitis of shoulder,1
948,"Contusion of right upper arm, initial encounter",1
949,"Contusion of left back wall of thorax, initial encounter",1
950,"Contusion of left upper arm, initial encounter",1
951,"Contusion of right back wall of thorax, initial encounter",1
952,"Fall (on) (from) other stairs and steps, initial encounter",1
953,"Contusion of scalp, initial encounter",1
954,Unspecified viral hepatitis C with hepatic coma,1
955,Alcohol-induced chronic pancreatitis,1
956,Other specified disorders of stomach and duodenum,1
957,Esophageal varices without mention of bleeding,1
958,Other malignant neuroendocrine tumors,1
959,"Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus",1
960,Other secondary neuroendocrine tumors,1
961,Contusion of toe,1
962,Left upper quadrant pain,1
963,"Other fracture of T7-T8 thoracic vertebra, initial encounter for closed fracture",1
964,"Fracture of one rib, left side, initial encounter for closed fracture",1
965,"Infective otitis externa, unspecified",1
966,Cholesteatoma of attic,1
967,"Cellulitis and abscess of hand, except fingers and thumb",1
968,Candidiasis of vulva and vagina,1
969,Influenza with pneumonia,1
970,Chronic or unspecified gastrojejunal ulcer with hemorrhage,1
971,Intestinal bypass and anastomosis status,1
972,Other myeloid leukemia not having achieved remission,1
973,Other pulmonary aspergillosis,1
974,Unspecified bacterial pneumonia,1
975,Hemoptysis,1
976,"Conjunctival hemorrhage, bilateral",1
977,Pneumocystosis,1
978,"Graft-versus-host disease, unspecified",1
979,Lack of coordination,1
980,Chronic hepatitis C with hepatic coma,1
981,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified",1
982,"Other disorders of muscle, ligament, and fascia",1
983,Other specified pre-operative examination,1
984,Acquired hypertrophic pyloric stenosis,1
985,Spontaneous bacterial peritonitis,1
986,Tachypnea,1
987,Natural blood and blood products causing adverse effects in therapeutic use,1
988,"Urinary obstruction, not elsewhere classified",1
989,Essential thrombocythemia,1
990,Shortness of breath,1
991,Family history of malignant neoplasm of gastrointestinal tract,1
992,"Drug induced headache, not elsewhere classified",1
993,Lump or mass in breast,1
994,Bloodstream infection due to central venous catheter,1
995,"Hepatitis, unspecified",1
996,Other agents affecting blood constituents causing adverse effects in therapeutic use,1
997,Neutropenia due to infection,1
998,"Viral pneumonia, unspecified",1
999,Vaccination not carried out because of chronic illness or condition,1
1000,Accidental poisoning by hormones and synthetic substitutes,1
1001,Hypothermia not associated with low environmental temperature,1
1002,"Other anomalies of cervix, vagina, and external female genitalia",1
1003,Poisoning by insulins and antidiabetic agents,1
1004,Personal history of allergy to other antibiotic agent,1
1005,Antineoplastic chemotherapy induced pancytopenia,1
1006,Local infection due to central venous catheter,1
1007,Carcinoma in situ of breast,1
1008,Malignant neoplasm of other and unspecified sites of male breast,1
1009,"Acute myeloid leukemia, in remission",1
1010,"Acute myeloblastic leukemia, in relapse",1
1011,Toxic gastroenteritis and colitis,1
1012,"Other myeloid leukemia, in relapse",1
1013,Contact with and (suspected) exposure to other viral communicable diseases,1
1014,"Tension-type headache, unspecified, not intractable",1
1015,Abnormal weight loss,1
1016,"Body mass index (BMI) 26.0-26.9, adult",1
1017,Long term (current) use of selective estrogen receptor modulators (SERMs),1
1018,Long term (current) use of antibiotics,1
1019,Acute bronchitis,1
1020,"Body Mass Index 35.0-35.9, adult",1
1021,Acute and chronic cholecystitis,1
1022,Other pulmonary embolism and infarction,1
1023,Pain in limb,1
1024,Other specified diseases of pericardium,1
1025,Late effects of motor vehicle accident,1
1026,Electrolyte and fluid disorders not elsewhere classified,1
1027,Unarmed fight or brawl,1
1028,Sprains and strains of unspecified site of knee and leg,1
1029,Unspecified accident,1
1030,"Body Mass Index 45.0-49.9, adult",1
1031,Other specified alveolar and parietoalveolar pneumonopathies,1
1032,"Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection",1
1033,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization",1
1034,Dysthymic disorder,1
1035,Nausea alone,1
1036,Other and unspecified noninfectious gastroenteritis and colitis,1
1037,"Body Mass Index 25.0-25.9, adult",1
1038,"Adverse effect of cephalosporins and other beta-lactam antibiotics, initial encounter",1
1039,Contact with and (suspected) exposure to other potentially hazardous substances,1
1040,"Myalgia and myositis, unspecified",1
1041,"Allergic rhinitis, cause unspecified",1
1042,"Dissection of aorta, abdominal",1
1043,Salicylates causing adverse effects in therapeutic use,1
1044,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,1
1045,Other gastritis without bleeding,1
1046,"Unspecified injury of urethra, initial encounter",1
1047,Type 2 diabetes mellitus with unspecified complications,1
1048,Renal dialysis status,1
1049,"Other anomalies of gallbladder, bile ducts, and liver",1
1050,Secondary malignant neoplasm of other digestive organs and spleen,1
1051,Malignant neoplasm of gallbladder,1
1052,Adjustment disorder with other symptoms,1
1053,Other malaise,1
1054,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm,1
1055,Dizziness and giddiness,1
1056,Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,1
1057,"Swelling, mass, or lump in head and neck",1
1058,Acute cor pulmonale,1
1059,Anorexia,1
1060,Estrogen receptor positive status [ER+],1
1061,Family history of unspecified malignant neoplasm,1
1062,"Primary osteoarthritis, left ankle and foot",1
1063,"Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding",1
1064,Acute and chronic respiratory failure with hypercapnia,1
1065,Other specified diseases of upper respiratory tract,1
1066,Abdominal aneurysm without mention of rupture,1
1067,Neurogenic bladder NOS,1
1068,Other closed fractures of distal end of radius (alone),1
1069,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",1
1070,Metabolic syndrome,1
1071,"Leukemia, unspecified not having achieved remission",1
1072,"Myelodysplastic disease, not classified",1
1073,Personal history of irradiation,1
1074,Hesitancy of micturition,1
1075,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,1
1076,Sebaceous cyst,1
1077,Other drug-induced agranulocytosis,1
1078,Aneurysm of artery of lower extremity,1
1079,"Adverse effect of sulfonamides, initial encounter",1
1080,Acquired absence of both cervix and uterus,1
1081,Mitral stenosis,1
1082,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,1
1083,Presence of xenogenic heart valve,1
1084,Personal history of malignant neoplasm of large intestine,1
1085,Personal history of malignant neoplasm of cervix uteri,1
1086,Other anaphylactic reaction,1
1087,Other specified retention of urine,1
1088,Other forms of acute pericarditis,1
1089,Other specified disorders of circulatory system,1
1090,Hemoglobinuria,1
1091,"Ileus, unspecified",1
1092,Noncompliance with renal dialysis,1
1093,"Renal sclerosis, unspecified",1
1094,"Abdominal pain, unspecified site",1
1095,Diplopia,1
1096,"Alcohol abuse, continuous",1
1097,"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus",1
1098,Long-term (current) use of antiplatelet/antithrombotic,1
1099,Unspecified deficiency anemia,1
1100,Ataxia following other cerebrovascular disease,1
1101,Cerebral infarction due to embolism of unspecified cerebral artery,1
1102,Localized skin eruption due to drugs and medicaments taken internally,1
1103,Benign prostatic hyperplasia with lower urinary tract symptoms,1
1104,"Complication of other artery following a procedure, not elsewhere classified, initial encounter",1
1105,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,1
1106,Resistance to penicillins,1
1107,"Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",1
1108,"Herpesviral infection, unspecified",1
1109,Coalworker's pneumoconiosis,1
1110,Other emphysema,1
1111,Other and unspecified ovarian cyst,1
1112,"Pulmonary hypertension, unspecified",1
1113,"Idiopathic gout, unspecified site",1
1114,Calculus of gallbladder without cholecystitis without obstruction,1
1115,Closed fracture of nasal bones,1
1116,Other specified disorders of peritoneum,1
1117,Malignant neoplasm of body of pancreas,1
1118,Malignant neoplasm of right main bronchus,1
1119,"Candidiasis, unspecified",1
1120,"Sciatica, unspecified side",1
1121,Malignant neoplasm of left main bronchus,1
1122,Esophageal obstruction,1
1123,Other myelodysplastic syndromes,1
1124,"Acquired hemolytic anemia, unspecified",1
1125,Malignant neoplasm of unspecified part of unspecified bronchus or lung,1
1126,Heartburn,1
1127,"Manic episode, unspecified",1
1128,Other musculoskeletal symptoms referable to limbs,1
1129,Facial weakness following cerebral infarction,1
1130,"Hemiplegia, unspecified affecting right dominant side",1
1131,Unsteadiness on feet,1
1132,Chronic combined systolic and diastolic heart failure,1
1133,Persistent postoperative fistula,1
1134,Other premature beats,1
1135,Other malaise and fatigue,1
1136,Other ureteric obstruction,1
1137,Anal or rectal pain,1
1138,Other artificial opening of urinary tract status,1
1139,Personal history of pathologic fracture,1
1140,Malignant neoplasm of rectum,1
1141,Chronic myeloproliferative disease,1
1142,"Adverse effect of drugs affecting uric acid metabolism, initial encounter",1
1143,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation",1
1144,"Malignant neoplasm of liver, secondary",1
1145,Stricture of artery,1
1146,Early satiety,1
1147,Varices of other sites,1
1148,Adult hypertrophic pyloric stenosis,1
1149,"Osteoarthritis of knee, unspecified",1
1150,Malignant neoplasm of anal canal,1
1151,Microscopic hematuria,1
1152,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",1
1153,Candidal stomatitis,1
1154,Other adrenal hypofunction,1
1155,Other specified forms of hearing loss,1
1156,Overflow incontinence,1
1157,Other ventral hernia without mention of obstruction or gangrene,1
1158,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",1
1159,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction",1
1160,Encounter for removal of sutures,1
1161,Attention to ileostomy,1
1162,Acute esophagitis,1
1163,"Disruption of wound, unspecified",1
1164,Other specified intestinal obstruction,1
1165,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction,1
1166,"Body Mass Index 33.0-33.9, adult",1
1167,"Postoperative shock, other",1
1168,"Fracture, cause unspecified",1
1169,Calculus of ureter,1
1170,Other specified analgesics and antipyretics causing adverse effects in therapeutic use,1
1171,"Dependence on respirator, status",1
1172,"Tubulo-interstitial nephritis, not specified as acute or chronic",1
1173,Unspecified intestinal obstruction,1
1174,Congenital hydronephrosis,1
1175,Secondary malignant neoplasm of retroperitoneum and peritoneum,1
1176,Encounter for attention to colostomy,1
1177,Secondary malignant neoplasm of other digestive organs,1
1178,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system, initial encounter",1
1179,"Other disorders of plasma-protein metabolism, not elsewhere classified",1
1180,"Other complications following infusion, transfusion and therapeutic injection, initial encounter",1
1181,Dilated cardiomyopathy,1
1182,Rheumatic tricuspid insufficiency,1
1183,Acquired absence of kidney,1
1184,Cardiomyopathy due to drug and external agent,1
1185,"Adverse effect of unspecified antipsychotics and neuroleptics, sequela",1
1186,Undiagnosed cardiac murmurs,1
1187,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",1
1188,"Mechanical complication of other vascular device, implant, and graft",1
1189,"Paranoid type schizophrenia, chronic",1
1190,Other specified misadventures during medical care,1
1191,Other left bundle branch block,1
1192,Accidents occurring in other specified places,1
1193,Mechanical complication of automatic implantable cardiac defibrillator,1
1194,"Ventral, unspecified, hernia without mention of obstruction or gangrene",1
1195,"Acute venous embolism and thrombosis of upper extremity, unspecified",1
1196,"Mechanical complication of nervous system device, implant, and graft",1
1197,Dyskinesia of esophagus,1
1198,"Urinary obstruction, unspecified",1
1199,"Unspecified polyarthropathy or polyarthritis, site unspecified",1
1200,Unspecified sleep apnea,1
1201,Bite of other animal except arthropod,1
1202,Contusion of hand(s),1
1203,Difficulty in walking,1
1204,Nonrheumatic tricuspid (valve) insufficiency,1
1205,Other disorders of bilirubin metabolism,1
1206,Diseases of tricuspid valve,1
1207,"Body Mass Index 27.0-27.9, adult",1
1208,Laparoscopic surgical procedure converted to open procedure,1
1209,"Closed fracture of phalanx or phalanges of hand, unspecified",1
1210,"Nausea with vomiting, unspecified",1
1211,Encounter for adjustment and management of automatic implantable cardiac defibrillator,1
1212,Occlusion and stenosis of carotid artery without mention of cerebral infarction,1
1213,"Enterocolitis due to Clostridium difficile, not specified as recurrent",1
1214,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,1
1215,Dysphagia following cerebral infarction,1
1216,Dysarthria following cerebral infarction,1
1217,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,1
1218,Pilonidal cyst without abscess,1
1219,"Secondary cardiomyopathy, unspecified",1
1220,"Multiple fractures of ribs, left side, initial encounter for closed fracture",1
1221,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture",1
1222,"Supermarket, store or market as the place of occurrence of the external cause",1
1223,"Other reconstructive surgery as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",1
1224,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",1
1225,"Chronic kidney disease, Stage V",1
1226,"Unilateral primary osteoarthritis, left knee",1
1227,Presence of right artificial knee joint,1
1228,Type 2 diabetes mellitus with other skin ulcer,1
1229,"Atherosclerosis of native arteries of extremities with gangrene, left leg",1
1230,Non-pressure chronic ulcer of left calf with unspecified severity,1
1231,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,1
1232,"Diastolic heart failure, unspecified",1
1233,Hyperplasia of renal artery,1
1234,"Blindness, both eyes",1
